Recency,Frequency,Monetary,Cluster,ClusterName
39,8,193.7,2,Diamond Customers
76,5,49.83,0,Loyal Customers
60,2,54.7,0,Loyal Customers
16,3,89.2,0,Loyal Customers
143,7,199.6,2,Diamond Customers
34,3,39.75,0,Loyal Customers
76,3,76.0,0,Loyal Customers
113,2,56.9,5,Regular Customers
112,1,7.6,5,Regular Customers
151,3,42.2,5,Regular Customers
21,9,201.2,2,Diamond Customers
124,3,103.8,5,Regular Customers
175,3,81.9,5,Regular Customers
86,3,83.1,0,Loyal Customers
201,5,58.22,4,Potential Customers
234,4,51.75,4,Potential Customers
2,6,150.12,2,Diamond Customers
226,9,168.05,4,Potential Customers
128,4,159.24,2,Diamond Customers
129,2,82.4,5,Regular Customers
112,7,264.32,2,Diamond Customers
71,1,47.3,0,Loyal Customers
37,2,44.7,0,Loyal Customers
131,5,118.8,5,Regular Customers
99,4,83.99,5,Regular Customers
22,2,32.0,0,Loyal Customers
37,2,51.85,0,Loyal Customers
70,3,11.65,0,Loyal Customers
80,3,49.4,0,Loyal Customers
11,4,55.34,0,Loyal Customers
7,8,86.86,0,Loyal Customers
276,2,13.2,4,Potential Customers
122,3,32.45,5,Regular Customers
190,8,84.5,5,Regular Customers
232,2,22.6,4,Potential Customers
137,2,47.6,5,Regular Customers
68,7,180.4,2,Diamond Customers
127,5,139.6,5,Regular Customers
46,7,91.1,0,Loyal Customers
41,3,67.8,0,Loyal Customers
352,1,20.6,1,New Customers
161,6,260.7,2,Diamond Customers
121,3,64.1,5,Regular Customers
527,2,10.25,3,Lost Customers
412,3,73.4,1,New Customers
411,2,75.2,1,New Customers
447,2,37.45,1,New Customers
10,6,134.29,0,Loyal Customers
175,5,86.7,5,Regular Customers
117,3,33.22,5,Regular Customers
307,4,153.9,4,Potential Customers
155,2,54.45,5,Regular Customers
319,4,201.5,4,Potential Customers
80,3,62.46,0,Loyal Customers
7,3,113.22,0,Loyal Customers
490,3,32.3,3,Lost Customers
255,3,101.95,4,Potential Customers
227,5,76.95,4,Potential Customers
99,2,47.4,5,Regular Customers
84,6,140.0,2,Diamond Customers
97,7,146.7,2,Diamond Customers
41,6,139.24,2,Diamond Customers
253,5,113.56,4,Potential Customers
14,4,66.01,0,Loyal Customers
23,7,148.4,2,Diamond Customers
131,2,35.25,5,Regular Customers
10,5,96.8,0,Loyal Customers
14,6,73.2,0,Loyal Customers
84,4,95.3,0,Loyal Customers
185,2,23.9,5,Regular Customers
46,8,279.4,2,Diamond Customers
100,3,32.2,5,Regular Customers
15,3,95.12,0,Loyal Customers
52,7,101.85,0,Loyal Customers
36,6,145.23,2,Diamond Customers
47,2,32.54,0,Loyal Customers
209,4,65.76,4,Potential Customers
479,4,165.35,1,New Customers
157,2,36.4,5,Regular Customers
3,4,112.0,0,Loyal Customers
99,3,48.11,5,Regular Customers
33,6,116.9,0,Loyal Customers
131,3,53.0,5,Regular Customers
342,6,84.0,1,New Customers
223,4,137.7,4,Potential Customers
140,4,36.54,5,Regular Customers
206,5,81.65,4,Potential Customers
181,5,146.1,5,Regular Customers
11,9,223.85,2,Diamond Customers
77,4,82.66,0,Loyal Customers
32,5,73.2,0,Loyal Customers
195,4,83.65,5,Regular Customers
10,4,55.2,0,Loyal Customers
344,3,18.0,1,New Customers
26,4,58.0,0,Loyal Customers
229,4,170.9,4,Potential Customers
75,2,59.04,0,Loyal Customers
164,5,168.41,2,Diamond Customers
253,2,53.6,4,Potential Customers
342,3,103.0,1,New Customers
37,4,45.9,0,Loyal Customers
53,4,108.0,0,Loyal Customers
137,2,25.3,5,Regular Customers
252,4,66.7,4,Potential Customers
211,6,182.4,4,Potential Customers
265,4,70.0,4,Potential Customers
324,2,32.7,1,New Customers
60,7,161.3,2,Diamond Customers
72,4,69.4,0,Loyal Customers
54,5,95.3,0,Loyal Customers
201,6,159.3,4,Potential Customers
602,3,34.44,3,Lost Customers
92,2,38.2,5,Regular Customers
339,1,8.6,1,New Customers
90,3,111.27,0,Loyal Customers
436,2,35.8,1,New Customers
78,6,151.14,2,Diamond Customers
10,4,39.6,0,Loyal Customers
234,5,108.5,4,Potential Customers
294,1,20.55,4,Potential Customers
71,4,110.4,0,Loyal Customers
343,2,72.06,1,New Customers
36,5,56.4,0,Loyal Customers
33,6,107.5,0,Loyal Customers
90,3,53.1,0,Loyal Customers
63,4,51.9,0,Loyal Customers
154,3,81.5,5,Regular Customers
308,4,63.51,4,Potential Customers
572,2,19.0,3,Lost Customers
114,3,44.6,5,Regular Customers
54,3,33.3,0,Loyal Customers
42,3,61.4,0,Loyal Customers
123,2,12.1,5,Regular Customers
53,3,146.28,2,Diamond Customers
165,2,68.2,5,Regular Customers
97,3,69.2,5,Regular Customers
84,7,180.0,2,Diamond Customers
422,2,20.6,1,New Customers
267,4,82.15,4,Potential Customers
572,1,38.6,3,Lost Customers
188,2,60.9,5,Regular Customers
612,1,49.0,3,Lost Customers
41,5,95.22,0,Loyal Customers
142,5,111.23,5,Regular Customers
141,6,109.9,5,Regular Customers
125,6,90.0,5,Regular Customers
376,5,76.2,1,New Customers
147,7,169.96,2,Diamond Customers
95,3,69.4,5,Regular Customers
339,2,62.8,1,New Customers
323,1,9.0,1,New Customers
614,2,93.3,3,Lost Customers
301,7,221.86,4,Potential Customers
258,5,81.6,4,Potential Customers
0,3,22.7,0,Loyal Customers
297,4,31.0,4,Potential Customers
188,5,156.0,5,Regular Customers
158,3,49.3,5,Regular Customers
359,5,148.6,1,New Customers
18,2,16.8,0,Loyal Customers
193,3,72.9,5,Regular Customers
48,4,53.6,0,Loyal Customers
164,5,62.25,5,Regular Customers
221,4,93.0,4,Potential Customers
92,5,176.94,2,Diamond Customers
118,5,78.9,5,Regular Customers
381,2,17.09,1,New Customers
290,5,97.7,4,Potential Customers
414,4,40.4,1,New Customers
145,4,44.2,5,Regular Customers
62,4,120.56,0,Loyal Customers
151,2,56.8,5,Regular Customers
166,3,80.06,5,Regular Customers
85,6,126.96,2,Diamond Customers
462,2,19.92,1,New Customers
194,3,107.5,4,Potential Customers
36,9,155.6,2,Diamond Customers
115,6,65.3,5,Regular Customers
20,6,117.75,0,Loyal Customers
22,4,122.4,0,Loyal Customers
35,3,40.95,0,Loyal Customers
59,5,83.4,0,Loyal Customers
195,3,94.45,5,Regular Customers
118,6,187.5,2,Diamond Customers
303,2,59.8,4,Potential Customers
141,2,40.1,5,Regular Customers
468,3,30.8,1,New Customers
299,6,102.52,4,Potential Customers
144,5,108.8,5,Regular Customers
454,3,43.85,1,New Customers
10,5,177.1,2,Diamond Customers
258,1,41.15,4,Potential Customers
377,2,21.1,1,New Customers
190,3,73.6,5,Regular Customers
366,3,45.6,1,New Customers
23,8,241.86,2,Diamond Customers
80,4,69.9,0,Loyal Customers
120,6,128.25,5,Regular Customers
136,3,37.75,5,Regular Customers
32,4,74.75,0,Loyal Customers
80,2,39.1,0,Loyal Customers
50,4,101.67,0,Loyal Customers
323,2,27.3,1,New Customers
91,11,361.45,2,Diamond Customers
208,5,127.91,4,Potential Customers
173,4,58.76,5,Regular Customers
82,5,103.4,0,Loyal Customers
542,1,13.8,3,Lost Customers
507,1,22.8,3,Lost Customers
576,2,33.0,3,Lost Customers
81,3,94.9,0,Loyal Customers
222,4,117.65,4,Potential Customers
93,6,169.45,2,Diamond Customers
186,1,64.2,5,Regular Customers
94,5,108.6,5,Regular Customers
298,2,54.3,4,Potential Customers
74,3,40.5,0,Loyal Customers
266,4,74.2,4,Potential Customers
153,1,95.8,5,Regular Customers
88,5,156.4,2,Diamond Customers
96,5,271.95,2,Diamond Customers
31,4,74.3,0,Loyal Customers
63,5,88.4,0,Loyal Customers
492,1,5.3,3,Lost Customers
345,1,30.6,1,New Customers
34,7,128.8,0,Loyal Customers
43,1,24.2,0,Loyal Customers
28,3,91.05,0,Loyal Customers
181,6,80.6,5,Regular Customers
257,3,19.2,4,Potential Customers
148,2,28.2,5,Regular Customers
12,3,83.42,0,Loyal Customers
2,7,170.95,2,Diamond Customers
246,4,82.5,4,Potential Customers
296,6,108.1,4,Potential Customers
193,2,27.7,5,Regular Customers
214,2,45.66,4,Potential Customers
8,8,210.51,2,Diamond Customers
216,4,186.6,4,Potential Customers
27,6,109.2,0,Loyal Customers
238,5,155.7,4,Potential Customers
124,4,86.05,5,Regular Customers
6,6,164.2,2,Diamond Customers
66,6,113.35,0,Loyal Customers
330,4,104.36,1,New Customers
324,4,89.6,1,New Customers
24,4,100.9,0,Loyal Customers
17,3,69.41,0,Loyal Customers
29,5,81.54,0,Loyal Customers
73,4,78.9,0,Loyal Customers
